,campaign_id,ad_id,impressions,clicks,spent,date,reach,link_external_clicks,join_rate
148,1028450857,157200484,2447,5,"250,00",2023-08-03,2285,3,0
149,1028450857,157200484,1300,4,"162,75",2023-08-04,1294,2,0
150,1028450857,157200362,2462,2,"249,60",2023-08-03,2326,1,0
151,1028450857,157200362,1141,0,"119,53",2023-08-04,1124,0,0
152,1028450857,157200306,2294,5,"249,66",2023-08-03,1983,4,0
153,1028450857,157200306,1032,1,"122,69",2023-08-04,992,1,0
154,1028450857,157200306,1,0,0,2023-08-05,1,0,0
155,1028621496,157198851,2622,5,"250,00",2023-08-03,1558,2,0
156,1028621496,157198851,1158,2,"113,36",2023-08-04,908,0,0
157,1028621496,157198727,6108,3,"250,00",2023-08-03,3551,2,0
158,1028621496,157198727,2393,1,"141,13",2023-08-04,1831,0,0
159,1028621496,157198727,1,0,0,2023-08-05,1,0,0
160,1028621496,157198548,3058,13,"250,00",2023-08-03,1890,7,0
161,1028621496,157198548,1173,3,"95,48",2023-08-04,1018,0,1
162,1028469491,157197639,2067,2,"248,45",2023-08-03,1893,2,0
163,1028469491,157197639,1181,5,"156,89",2023-08-04,1130,4,0
164,1028469491,157197639,1,0,0,2023-08-05,1,0,0
165,1028469491,157197465,1878,2,"250,00",2023-08-03,1723,2,0
166,1028469491,157197465,1134,2,"141,37",2023-08-04,1101,2,0
167,1028469491,157197386,2455,2,"250,00",2023-08-03,2333,1,0
168,1028469491,157197386,1287,3,"151,80",2023-08-04,1277,1,0
169,1028469491,157197386,1,0,0,2023-08-06,1,0,0
170,1028542322,157194480,2863,1,"250,00",2023-08-03,2639,0,0
171,1028542322,157194480,1012,0,"109,44",2023-08-04,994,0,0
172,1028542322,157194368,2111,3,"250,00",2023-08-03,1921,2,0
173,1028542322,157194368,807,0,"101,14",2023-08-04,784,0,0
174,1028542322,157194170,2411,4,"250,00",2023-08-03,2310,3,0
175,1028542322,157194170,1013,2,"118,57",2023-08-04,1000,1,0
176,1028542322,157194170,1,0,0,2023-08-05,1,0,0
177,1028542322,157193068,2052,1,"250,00",2023-08-03,1883,1,0
178,1028542322,157193068,851,1,"113,89",2023-08-04,823,0,0
179,1028542322,157193005,2217,2,"250,00",2023-08-03,2100,1,0
180,1028542322,157193005,1204,5,"135,38",2023-08-04,1185,3,0
181,1028456275,157192052,1872,3,"250,00",2023-08-03,1760,2,0
182,1028456275,157192052,1114,1,"149,66",2023-08-04,1075,0,0
183,1028456275,157191952,2532,3,"248,87",2023-08-03,2409,2,0
184,1028456275,157191952,1415,2,"165,52",2023-08-04,1358,0,1
